COURSE,DEPARTMENT,COURSE ID,CLASS NBR,TOTAL ENROLLMENT,GSAS,HCOL,NONDGR,VUS,XREG
APMTH  126,APMA,110059,10750,7,2,5,,,
APMTH  320,APMA,118975,12536,5,5,,,,
APMTH  318,APMA,116187,12273,4,4,,,,
APMTH   99R,APMA,115654,16946,3,,3,,,
APMTH  206,APMA,121467,12636,2,1,1,,,
APMTH  324,APMA,159776,14817,2,2,,,,
APMTH  141R,APMA,110333,20042,1,,1,,,
APMTH  299R,APMA,116840,12313,1,1,,,,
APMTH  316,APMA,131434,11595,1,1,,,,
APMTH  332,APMA,116297,12363,1,1,,,,
APPHY   50B,APPHYS,108882,18595,62,,62,,,
APPHY  291,APPHYS,116509,12022,19,16,,1,,2
APPHY  295A,APPHYS,143855,16008,16,15,1,,,
APPHY  362,APPHYS,117862,12386,13,13,,,,
APPHY  364,APPHYS,112454,11864,13,13,,,,
APPHY  304,APPHYS,123949,13262,12,12,,,,
APPHY  342,APPHYS,122881,13062,9,9,,,,
APPHY  226,APPHYS,125449,17076,8,7,1,,,
APPHY  299R,APPHYS,131373,10334,8,7,1,,,
APPHY  360,APPHYS,133140,10555,8,8,,,,
APPHY  350,APPHYS,156736,11668,7,7,,,,
APPHY  372,APPHYS,125419,13113,7,7,,,,
APPHY  392,APPHYS,120887,13136,7,7,,,,
APPHY  216,APPHYS,141253,16007,5,5,,,,
APPHY  330,APPHYS,125472,13182,5,5,,,,
APPHY  376,APPHYS,110265,10882,5,5,,,,
APPHY  334,APPHYS,143230,12309,4,4,,,,
APPHY  354,APPHYS,156741,11675,4,4,,,,
APPHY  374,APPHYS,126172,13795,4,4,,,,
APPHY  398,APPHYS,148042,12572,4,4,,,,
APPHY  396,APPHYS,142229,12558,3,3,,,,
APPHY  302,APPHYS,121977,13276,2,2,,,,
APPHY  338,APPHYS,146784,11457,2,2,,,,
APPHY  356,APPHYS,116189,12278,2,2,,,,
APPHY  322,APPHYS,125476,13189,1,1,,,,
APPHY  336,APPHYS,148255,12859,1,1,,,,
APPHY  348,APPHYS,113128,10498,1,1,,,,
APPHY  368,APPHYS,113715,12461,1,1,,,,
ASTRON  301HFB,ASTR,160577,16153,49,49,,,,
ASTRON   16,ASTR,118136,14839,25,,25,,,
ASTRON  130,ASTR,125883,13734,21,,21,,,
ASTRON  100,ASTR,125880,16931,13,,13,,,
ASTRON  191,ASTR,113262,15199,13,,11,,,2
ASTRON  202B,ASTR,111660,11500,9,8,1,,,
ASTRON  215HFB,ASTR,160576,16152,8,8,,,,
ASTRON  253,ASTR,109578,10455,8,7,,1,,
ASTRON  300,ASTR,122728,17679,8,8,,,,
ASTRON   99B,ASTR,159800,14864,7,,7,,,
ASTRON  300,ASTR,122728,17675,7,7,,,,
ASTRON  300,ASTR,122728,17671,6,6,,,,
ASTRON  302,ASTR,117515,12041,6,6,,,,
ASTRON  151,ASTR,124099,15470,5,5,,,,
ASTRON  300,ASTR,122728,17668,5,5,,,,
ASTRON  300,ASTR,122728,17669,5,5,,,,
ASTRON  300,ASTR,122728,17672,5,5,,,,
ASTRON  300,ASTR,122728,17678,5,5,,,,
ASTRON  305,ASTR,161303,19205,5,4,,,,1
ASTRON  300,ASTR,122728,17673,4,4,,,,
ASTRON  300,ASTR,122728,17676,4,4,,,,
ASTRON  300,ASTR,122728,17677,4,4,,,,
ASTRON  219,ASTR,111053,15201,3,3,,,,
ASTRON  300,ASTR,122728,17667,3,3,,,,
ASTRON  300,ASTR,122728,17670,3,3,,,,
ASTRON  300,ASTR,122728,17681,2,2,,,,
ASTRON  300,ASTR,122728,17683,2,2,,,,
ASTRON  300,ASTR,122728,19055,2,2,,,,
ASTRON   91R,ASTR,110822,10904,1,,1,,,
ASTRON  300,ASTR,122728,17674,1,1,,,,
ASTRON  300,ASTR,122728,17680,1,1,,,,
ASTRON  300,ASTR,122728,19035,1,1,,,,
OEB   57,BIOE,131446,15244,43,,43,,,
OEB   52,BIOE,131579,10139,35,1,33,1,,
OEB   99R,BIOE,144581,13595,30,,30,,,
OEB  167,BIOE,145020,16382,30,3,24,,,3
OEB   53,BIOE,142224,12554,23,2,21,,,
OEB  130,BIOE,140830,16255,22,,21,,,1
OEB  399,BIOE,148242,13085,22,22,,,,
OEB   55,BIOE,132206,15243,20,,20,,,
OEB  223,BIOE,145012,13362,19,6,12,1,,
OEB  190,BIOE,143846,14605,15,1,12,,,2
OEB   51,BIOE,144597,14466,14,,14,,,
OEB  290,BIOE,124109,14390,14,13,1,,,
OEB   54,BIOE,148250,16762,13,,13,,,
OEB  173,BIOE,145006,13299,12,5,7,,,
OEB  230,BIOE,145414,13769,12,6,6,,,
OEB  253R,BIOE,131584,10152,12,11,1,,,
OEB  234,BIOE,140902,14381,10,,10,,,
OEB   56,BIOE,130331,11587,8,,8,,,
OEB  104,BIOE,161184,16983,8,,6,2,,
OEB  168R,BIOE,144194,13581,8,4,3,1,,
OEB  126,BIOE,160453,15690,7,3,4,,,
OEB  157,BIOE,143485,14384,6,1,3,,,2
OEB  277,BIOE,146387,14128,6,2,4,,,
